system:index,area_m2,ndmi_mean,ndvi_mean,year,.geo
0,137534.40743085078,0.23549723654190752,0.44123234088761687,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,140207.28727961527,0.30194063533507853,0.4641023488641128,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,120669.19957125795,0.21413590676183952,0.42821808188797056,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,117371.87990944057,0.23329161899406706,0.4146264559507511,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,105754.77172797707,0.23392921387534876,0.3784887417084242,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,104101.63581620759,0.18821422476923147,0.377536414564665,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,100579.42640090642,0.20146558215378998,0.37707636998926525,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
