Year,Previous_Year,NDVI_Threshold,Gain_m2,Loss_m2,Net_m2
2023,2022,0.3,2.685597323744147e-07,3.3053505523004886e-07,-6.197532285563416e-08
2023,2022,0.4,4.7514414189319523e-07,3.0987661427817083e-07,1.6526752761502443e-07
2023,2022,0.5,1.8592596856690249e-07,3.3053505523004886e-07,-1.4460908666314637e-07
