Year,Previous_Year,NDVI_Threshold,Gain_m2,Loss_m2,Net_m2
2020,2019,0.3,5.371194647488294e-07,1.3634571028239515e-06,-8.263376380751222e-07
2020,2019,0.4,2.0658440951878054e-07,1.2395064571126833e-06,-1.0329220475939026e-06
2020,2019,0.5,3.511934961819269e-07,1.3634571028239515e-06,-1.0122636066420247e-06
